Designer;Serie;Type;Codename;Year Released;Function;Width of Machine Word;Supported Instruction Set(s);Type of processor core(s);Number of processor core(s);Memory Interface(s);Max. Clock Frequency of Memory IF;Data Bus Width;Address Bus Width;Number of data bus channels;Non-volatile Memory Data Bus Width;Non-volatile Memory Interface;DMA Channels;Recommended Minimum Clock Frequency;Recommended Maximum Clock Frequency;Max. Data Rate;L1 Instruction Cache per Core;L0 Instruction Cache per Core;Number of L1 Cache Ways;L1 Data Cache per Core;Number of L2 Cache Ways;Total L2 Cache;Total L3 Cache;Internal Systembus Clock;Pipeline Stages;Instruction Execution Performance;Feature Size;Semiconductor Technology;Number of Transistors Integrated;Pins;Fab;Embedded GPU;Number of GPU cores;GPU Clock;Dedicated Graphics Memory;Supported Cellular Data Links;Supported USB Specification;Bluetooth support;Wireless LAN support;NFC support;Supported Audio/Video Interface;Supported GPS protocol(s);Supported Galileo service(s);Supported GLONASS protocol(s);Supported BeiDou system (BDS);Special Features;;
Qualcomm;Snapdragon;Snapdragon 625 APQ8053;;2016;Multi-core Application Processor;64 bit;ARMv8 (A32, A64);8x ARM Cortex-A53 MPcore;8;mobile (LP) DDR3 SDRAM;933 MHz;32 bit;;1 ch;;eMMC 5.1;;;2020 MHz max.;7.46 Gbyte/s;;;;;;;;;;;14 nm;CMOS;;;TSMC;Qualcomm Adreno 506 GPU;;550 MHz GPU;0.125 MiB;No;No;No;No;;No;Yes;;Yes;;octa 64-bit ARM Cortex-A53 MPcore Harvard Superscalar core (max. 2 GHz quad-core cluster + quad-core cluster), HMP, eMMC 5.1 interface, SD 3.0 (SDCC), Hexagon 546 DSP, 1920x1200 60 fps display support, 2160p video encode/decode, Qualcomm IZat Gen8C Lite with GLONASS, NFC, Bluetooth 4.1, OpenGL ES 3.1+, OpenCL 2.0 Full, DirectX 12, dual ISP, 24 MP camera support, USB 2.0, Fluence HD noise cancellation technology, Qualcomm Quick Charge 3.0;;
Qualcomm;Snapdragon;Snapdragon 626 MSM8953 Pro;;2016;Multi-core Application Processor with Modem;64 bit;ARMv8 (A32, A64);8x ARM Cortex-A53 MPcore;8;mobile (LP) DDR3 SDRAM;933 MHz;32 bit;;1 ch;;eMMC 5.1;;;2210 MHz max.;7.46 Gbyte/s;;;;;;;;;;;14 nm;CMOS;;;TSMC;Qualcomm Adreno 506 GPU;;650 MHz GPU;0.125 MiB;CSD 9.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , DC-HSDPA 42.2 Mbps (Cat. 24) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A , CDMA2000 1xEV-DO Revision B , TD-SCDMA , LTE (Cat. unspecified) , LTE 300 Mbps / 100 Mbps (Cat. 7) , LTE 400 Mbps / 150 Mbps (LTE Cat. 13) data links;No;No;No;;No;Yes;;Yes;;octa 64-bit ARM Cortex-A53 MPcore Harvard Superscalar core (max. 2.2 GHz quad-core cluster + quad-core cluster), HMP, eMMC 5.1 interface, SD 3.0 (SDCC), Hexagon 546 DSP, Integrated X9 LTE Global Mode modem, CDMA 2000 1x Adv./EV-DO Rel 0., Rev. A/B, GSM, GPRS, EDGE, UMTS, DB-DC-HSDPA, DC-HSUPA, LTE FDD/TDD Cat. 13 / Cat. 7 (up to 300 / 150 Mbps), SVLTE-DB, Rel9 DC-HSPA+, TD-SCDMA baseband modem, dual SIM / dual standby support, 1920x1200 60 fps display support, 2160p video encode/decode, Qualcomm IZat Gen8C with GLONASS, NFC, Bluetooth 4.2, OpenGL ES 3.1+, OpenCL 2.0 Full, DirectX 12, dual ISP, 24 MP camera support, USB 2.0, Fluence HD noise cancellation technology, Qualcomm Quick Charge 3.0;;
Qualcomm;Snapdragon;Snapdragon 653 MSM8976SG / MSM8976 Pro;;2016;Multi-core Application Processor with Modem;64 bit;ARMv8 (A32, A64);4x ARM Cortex-A72 MPcore + 4x ARM Cortex-A53 MPcore;8;mobile (LP) DDR3 SDRAM;933 MHz;32 bit;;2 ch;;eMMC 5.1;;;1950 MHz max.;14.93 Gbyte/s;;;;;;1024 Kbyte L2;;;;;28 nm;CMOS;;;TSMC;Qualcomm Adreno 510 GPU;;621 MHz GPU;0.25 MiB;CSD 9.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 42.2 Mbps (Cat. 20) , DC-HSDPA 42.2 Mbps (Cat. 24) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A , CDMA2000 1xEV-DO Revision B , TD-SCDMA , LTE (Cat. unspecified) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 300 Mbps / 100 Mbps (Cat. 7) , LTE 400 Mbps / 150 Mbps (LTE Cat. 13) data links;No;No;No;;No;GPS (NMEA 0183);;Yes;;quad 64-bit ARM Cortex A72 Harvard Superscalar cores (max. 1.95 GHz, 1024 Kbyte L2 cache) + quad 64-bit ARM Cortex-A53 MPcore Harvard Superscalar core (max. 1.2 GHz, 512 Kbyte L2 cache), HMP, eMMC 5.1 interface, Hexagon V56 DSP, Qualcomm X9 LTE Modem, CDMA 2000 1x Adv./DO Rel 0., Rev. A/B, SVDO-DB, GSM, GPRS, EDGE, UMTS, HSPA+ 42 Mbps, HSUPA, LTE FDD/TDD Cat. 7. / Cat. 13. (300/150Mbps), SVLTE-DB, Rel9 DC-HSPA+, TD-SCDMA baseband modem, dual SIM / dual active standby support, Quad HD (2560x1600) display support, 2160p 30fps video encode/decode, 1080p 120 fps video encode, Qualcomm IZat Gen8C Lite with GLONASS, NFC, Bluetooth 4.1, OpenGL ES 3.0, DirectX 11.2, OpenCL 1.2, Qualcomm VIVE 802.11ac, Renderscript Compute, FlexRender support, dual 21 MP camera support, USB 2.0, Qualcomm Quick Charge 2.0 / 3.0, Qualcomm Immersive Audio, Qualcomm Snapdragon Voice Activation;;
Qualcomm;Snapdragon;Snapdragon 821 MSM8996AC Pro;;2016;Multi-core Application Processor with Modem;64 bit;ARMv8-A (A32, A64);4x Qualcomm Kryo 100;4;mobile (LP) DDR4 SDRAM , LPDDR4x SDRAM;1866 MHz;32 bit;;2 ch;;eMMC 5.1 , UFS 2.0;;;2350 MHz max.;29.86 Gbyte/s;32 Kbyte I-Cache;;;32 Kbyte D-Cache;;1536 Kbyte L2;;;;;14 nm;CMOS;;;TSMC;Qualcomm Adreno 530 GPU;;653 MHz GPU;1 MiB;CSD 9.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , DC-HSDPA 42.2 Mbps (Cat. 24) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A , CDMA2000 1xEV-DO Revision B , TD-SCDMA , LTE (Cat. unspecified) , LTE 400 Mbps / 150 Mbps (LTE Cat. 13) , LTE 450 Mbps / 100 Mbps (LTE Cat. 10) , LTE 600 Mbps / 100 Mbps (LTE Cat. 12) data links;No;No;No;;No;Yes;;Yes;;dual Qualcomm Kryo 100 Harvard Superscalar cores (up to 2.35 GHz) + dual Qualcomm Kryo Harvard Superscalar cores, HMP, Hexagon 680 DSP, Qualcomm X12 LTE Modem, CDMA 2000 1x Adv./DO Rel 0., Rev. A/B, SVDO-DB, GSM, GPRS, EDGE, UMTS, DC-HSPA+ 42 Mbps, DC-HSUPA, LTE FDD/TDD Cat. 10, SVLTE-DB, Rel9 DC-HSPA+, TD-SCDMA baseband modem, LTE Cat. 12 / Cat 13 (up to 600 Mbps / 150 Mbps), LTE dual SIM / dual active standby support (DSDA), 3840x2160 display support, 2160p 60 fps video decode, 2160p 30 fps video encode, Qualcomm IZat Gen8C GPS+Glonass, Bluetooth 4.1, OpenCL 1.2, OpenGL ES 3.1+, DirectX 11.1, Qualcomm VIVE 802.11ac/802.11ad, USB 3.0, Renderscript Compute, FlexRender support, Qualcomm Spectra 14-bit dual Qualcomm Spectra Image Signal Processors, 28 MP camera support, HDMI 2.0, USB 3.0 Qualcomm Quick Charge 3.0;;
Qualcomm;Snapdragon;Snapdragon Wear 2100 MSM8909w;;2016;Multi-core Application Processor with Modem;32 bit;ARMv7-A;4x ARM Cortex-A7 MPcore;4;mobile (LP) DDR3 SDRAM;400 MHz;32 bit;;1 ch;;eMMC 4.5;;800 MHz min.;1300 MHz max.;3.2 Gbyte/s;;;;;;;;;;;28 nm;CMOS;;;TSMC;Qualcomm Adreno 304 GPU;;;;CSD 9.6 kbps , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , DC-HSDPA 42.2 Mbps (Cat. 24) , CDMA2000 1xEV-DO Rel. 0 , TD-SCDMA , LTE (Cat. unspecified) , LTE 50 Mbps / 25 Mbps (Cat. 2) , LTE 75 Mbps / 25 Mbps (Cat. 3) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;No;No;;No;Yes;;;;Quad ARM Cortex-A7 MPcore Harvard Superscalar core, eMMC 4.5, Hexagon QDSP6, integrated X5 LTE baseband modem (LTE FDD/TDD, WCDMA, DC-HSDPA, DC-HSUPA, TD-SCDMA, EV-DO, CDMA 1x, GSM, EDGE), 640x480 60 fps display support, IZat Gen8C, OpenGL ES 3.0, USB 2.0, NFC, Bluetooth 4.1, Qualcomm Quick Charge 2.0. For wearables.;;
Qualcomm;Snapdragon;Snapdragon 821 MSM8996AB Pro;;2016;Multi-core Application Processor with Modem;64 bit;ARMv8-A (A32, A64);4x Qualcomm Kryo 100;4;mobile (LP) DDR4 SDRAM;1866 MHz;32 bit;;2 ch;;eMMC 5.1 , UFS 2.0;;;2150 MHz max.;29.86 Gbyte/s;32 Kbyte I-Cache;;;32 Kbyte D-Cache;;1536 Kbyte L2;;;;;14 nm;CMOS;;;TSMC;Qualcomm Adreno 530 GPU;;624 MHz GPU;1 MiB;CSD 9.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , DC-HSDPA 42.2 Mbps (Cat. 24) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A , CDMA2000 1xEV-DO Revision B , TD-SCDMA , LTE (Cat. unspecified) , LTE 400 Mbps / 150 Mbps (LTE Cat. 13) , LTE 450 Mbps / 100 Mbps (LTE Cat. 10) , LTE 600 Mbps / 100 Mbps (LTE Cat. 12) data links;No;No;No;;No;Yes;;Yes;;dual Qualcomm Kryo 100 Harvard Superscalar cores (up to 2.15 GHz) + dual Qualcomm Kryo Harvard Superscalar cores, HMP, Hexagon 680 DSP, Qualcomm X12 LTE Modem, CDMA 2000 1x Adv./DO Rel 0., Rev. A/B, SVDO-DB, GSM, GPRS, EDGE, UMTS, DC-HSPA+ 42 Mbps, DC-HSUPA, LTE FDD/TDD Cat. 10, SVLTE-DB, Rel9 DC-HSPA+, TD-SCDMA baseband modem, LTE Cat. 12 / Cat 13 (up to 600 Mbps / 150 Mbps), LTE dual SIM / dual active standby support (DSDA), 3840x2160 display support, 2160p 60 fps video decode, 2160p 30 fps video encode, Qualcomm IZat Gen8C GPS+Glonass, Bluetooth 4.1, OpenCL 1.2, OpenGL ES 3.1+, DirectX 11.1, Qualcomm VIVE 802.11ac/802.11ad, USB 3.0, Renderscript Compute, FlexRender support, Qualcomm Spectra 14-bit dual Qualcomm Spectra Image Signal Processors, 28 MP camera support, HDMI 2.0, USB 3.0 Qualcomm Quick Charge 3.0;;
Qualcomm;Snapdragon;Snapdragon 620 APQ8076 / Snapdragon 652;;2016;Multi-core Application Processor;64 bit;ARMv8 (A32, A64);4x ARM Cortex-A72 MPcore + 4x ARM Cortex-A53 MPcore;8;mobile (LP) DDR3 SDRAM;933 MHz;32 bit;;2 ch;;eMMC 5.1;;;1800 MHz max.;14.93 Gbyte/s;;;;;;1024 Kbyte L2;;;;;28 nm;CMOS;;;TSMC;Qualcomm Adreno 510 GPU;;;0.25 MiB;No;No;No;No;;No;Yes;;Yes;;quad 64-bit ARM Cortex A72 Harvard Superscalar cores (max. 1.8 GHz, 1024 Kbyte L2 cache) + quad 64-bit ARM Cortex-A53 MPcore Harvard Superscalar core (max. 1.2 GHz, 512 Kbyte L2 cache), HMP, max. 700 MHz Hexagon V56 DSP, Adreno 510 GPU, Quad HD (2560x1600) display support, 2160p 30fps video encode/decode, Qualcomm IZat Gen8C Lite with GLONASS, NFC, Bluetooth 4.1, OpenGL ES 3.0, DirectX 11.2, OpenCL 1.2, Qualcomm VIVE 802.11ac, Renderscript Compute, FlexRender support, dual 13 MP camera support, USB 2.0, Qualcomm Quick Charge 2.0 / 3.0, Qualcomm Immersive Audio, Qualcomm Snapdragon Voice Activation;;
Qualcomm;Snapdragon;Snapdragon 435 MSM8940;;2016;Multi-core Application Processor with Modem;64 bit;ARMv8 (A32, A64);8x ARM Cortex-A53 MPcore;8;mobile (LP) DDR3 SDRAM;800 MHz;32 bit;;1 ch;;eMMC 5.1;;;1400 MHz max.;6.4 Gbyte/s;;;;;;;;;;;28 nm;CMOS;;;TSMC;Qualcomm Adreno 505 GPU;;;0.125 MiB;CSD 9.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , DC-HSDPA 42.2 Mbps (Cat. 24) , cdmaOne (IS-95) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A , CDMA2000 1xEV-DO Revision B , TD-SCDMA , LTE (Cat. unspecified) , LTE 300 Mbps / 100 Mbps (Cat. 7) data links;No;No;No;;No;Yes;;Yes;;octa 64-bit ARM Cortex-A53 MPcore Harvard Superscalar core (max. 1.4 GHz quad-core cluster + quad-core cluster), HMP, eMMC 5.1, SD 3.0, Hexagon 536 DSP, Qualcomm X8 LTE Modem, CDMA 2000 1x Adv./DO Rel 0., Rev. A/B, GSM, GPRS, EDGE, UMTS, DB-DC-HSDPA, DC-HSUPA, LTE FDD/TDD Cat. 7 300 / 100 Mbps (LTE CA), TD-SCDMA baseband modem, dual SIM / dual active standby support, 1080p 60fps video encode/decode, Qualcomm IZat Gen8C with GLONASS, NFC, Bluetooth 4.1, OpenGL ES 3.1+, OpenCL 2.0 full, DirectX 11.2, 802.11ac, Fluence noise cancellation technology, dual ISP, 21 MP camera support, USB 2.0, Qualcomm Quick Charge 3.0;;
Qualcomm;Snapdragon;Snapdragon 625 MSM8953;;2016;Multi-core Application Processor with Modem;64 bit;ARMv8 (A32, A64);8x ARM Cortex-A53 MPcore;8;mobile (LP) DDR3 SDRAM;933 MHz;32 bit;;1 ch;;eMMC 5.1;;;2020 MHz max.;7.46 Gbyte/s;;;;;;;;;;;14 nm;CMOS;;;TSMC;Qualcomm Adreno 506 GPU;;550 MHz GPU;0.125 MiB;CSD 9.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , DC-HSDPA 42.2 Mbps (Cat. 24) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A , CDMA2000 1xEV-DO Revision B , TD-SCDMA , LTE (Cat. unspecified) , LTE 300 Mbps / 100 Mbps (Cat. 7) data links;No;No;No;;No;Yes;;Yes;;octa 64-bit ARM Cortex-A53 MPcore Harvard Superscalar core (max. 2 GHz quad-core cluster + quad-core cluster), HMP, eMMC 5.1 interface, SD 3.0 (SDCC), Hexagon 546 DSP, Integrated X9 LTE Global Mode modem, CDMA 2000 1x Adv./EV-DO Rel 0., Rev. A/B, GSM, GPRS, EDGE, UMTS, DB-DC-HSDPA, DC-HSUPA, LTE FDD/TDD Cat. 7 (up to 300 / 150 Mbps), SVLTE-DB, Rel9 DC-HSPA+, TD-SCDMA baseband modem, dual SIM / dual standby support, 1920x1200 60 fps display support, 2160p video encode/decode, Qualcomm IZat Gen8C Lite with GLONASS, NFC, Bluetooth 4.1, OpenGL ES 3.1+, OpenCL 2.0 Full, DirectX 12, dual ISP, 24 MP camera support, USB 2.0, Fluence HD noise cancellation technology, Qualcomm Quick Charge 3.0;;
Qualcomm;Snapdragon;Snapdragon 425 MSM8917;;2016;Multi-core Application Processor with Modem;64 bit;ARMv8 (A32, A64);4x ARM Cortex-A53 MPcore;4;mobile (LP) DDR3 SDRAM;667 MHz;32 bit;;1 ch;;eMMC 5.1;;;1400 MHz max.;5.34 Gbyte/s;;;;;;512 Kbyte L2;;;;;28 nm;CMOS;;720 pins;TSMC;Qualcomm Adreno 308 GPU;;500 MHz GPU;0.125 MiB;CSD 9.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , DC-HSDPA 42.2 Mbps (Cat. 24) , cdmaOne (IS-95) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A , CDMA2000 1xEV-DO Revision B , TD-SCDMA , LTE (Cat. unspecified) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;No;No;;No;Yes;;Yes;;quad 64-bit ARM Cortex-A53 MPcore Harvard Superscalar core, Hexagon 536 DSP, CDMA 2000 1x Adv./DO Rel 0., Rev. A/B, SVDO-DB, GSM, GPRS, EDGE, UMTS, DC-HSPA+ 42 Mbps, DC-HSUPA, LTE FDD/TDD Cat. 4 up to 150 / 75 Mbps, SVLTE-DB, Rel9 DC-HSPA+, TD-SCDMA baseband modem, Qualcomm X6 LTE Modem, dual SIM / dual active standby support, 16 MP camera support, 1280x800 display support, 1080p video encode/decode, Qualcomm iZat Gen8C with GLONASS, Bluetooth 4.1, OpenGL ES 3.0, OpenCL 1.1, OpenVG 1.1, EGL 3.1, DirectX 11, Fluence HDv6 noise cancellation technology, Qualcomm Quick Charge 2.0;;
Qualcomm;Snapdragon;Snapdragon Wear 2100 APQ8009w;;2016;Multi-core Application Processor;32 bit;ARMv7-A;4x ARM Cortex-A7 MPcore;4;mobile (LP) DDR3 SDRAM;400 MHz;32 bit;;1 ch;;eMMC 4.5;;800 MHz min.;1300 MHz max.;3.2 Gbyte/s;;;;;;;;;;;28 nm;CMOS;;;TSMC;Qualcomm Adreno 304 GPU;1-core GPU;;;No;No;No;No;;No;Yes;;;;Quad ARM Cortex-A7 MPcore Harvard Superscalar core, Hexagon QDSP6, 640x480 60 fps display support, IZat Gen8C, OpenGL ES 3.0, USB 2.0, NFC, Bluetooth 4.1, Qualcomm Quick Charge 2.0. For wearables.;;
Qualcomm;Snapdragon;Snapdragon 430 MSM8937;;2016;Multi-core Application Processor with Modem;64 bit;ARMv8 (A32, A64);8x ARM Cortex-A53 MPcore;8;mobile (LP) DDR3 SDRAM;800 MHz;32 bit;;1 ch;;eMMC 5.1;;;1400 MHz max.;6.4 Gbyte/s;;;;;;512 Kbyte L2;;;;;28 nm;CMOS;;727 pins;TSMC;Qualcomm Adreno 505 GPU;;450 MHz GPU;0.125 MiB;CSD 9.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 42.2 Mbps (Cat. 20) , DC-HSDPA 42.2 Mbps (Cat. 24) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A , CDMA2000 1xEV-DO Revision B , TD-SCDMA , LTE (Cat. unspecified) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;No;No;;No;Yes;;Yes;;octa 64-bit ARM Cortex-A53 MPcore Harvard Superscalar core (max. 1.4 GHz quad-core cluster + max. 1 GHz quad-core cluster), HMP, Hexagon 536 DSP, eMMC 5.1, Qualcomm X6 LTE Modem, CDMA 2000 1x Adv./DO Rel 0., Rev. A/B, SVDO-DB, GSM, GPRS, EDGE, UMTS, HSPA+ 42 Mbps, HSUPA, LTE FDD/TDD Cat. 4, SVLTE-DB, Rel9 DC-HSPA+, TD-SCDMA baseband modem, dual SIM / dual active standby support, 1080p video encode/decode, Qualcomm IZat Gen8C with GLONASS, NFC, Bluetooth 4.1, OpenGL ES 3.1+, DirectX 11.2, OpenCL 1.2, Qualcomm VIVE 802.11ac, Renderscript Compute, FlexRender support, dual ISP 21 MP camera support, USB 2.0, Qualcomm Quick Charge 3.0;;
Rockchip;RK;RK3399;OP1;2016;Multi-core Application Processor;64 bit;ARMv8-A (A32, A64);2x ARM Cortex-A72 + 4x ARM Cortex-A53 MPcore;6;mobile (LP) DDR2 SDRAM , DDR3 SDRAM , DDR3L (LV) SDRAM , mobile (LP) DDR3 SDRAM , mobile (LP) DDR4 SDRAM;;;;1 ch;;eMMC 4.5 , NAND Flash Interface;;;N/A;;;;;;;;;;;;28 nm;CMOS;;;;ARM Mali-T860 GPU;4-core GPU;600 MHz GPU;;No;No;No;No;;No;No;;;;dual ARM Cortex-A72 (up to 2 GHz) + quad ARM Cortex-A53 (up to 1.5 GHz) Harvard Superscalar processor cores, ARM big.LITTLE, HMP, ARM NEON SIMD engine, OpenGL ES, OpenGL EGL, OpenCL 1.2, Renderscript, 2160p 60fps video decode, 2160p 60fps video encode, 1080p HDMI 2.0, USB 3.0 host interface, camea support, 4K HDMI 2.0, USB 2.0 OTG;;
Samsung;Exynos;Exynos 7 Dual 7270 SC57270;;2016;Multi-core Application Processor with Modem;64 bit;ARMv8-A (A32, A64);2x ARM Cortex-A53 MPcore;2;mobile (LP) DDR3 SDRAM;;32 bit;;2 ch;;eMMC 5.0 , moviNAND , NAND Flash Interface , SATA;;;N/A;;;;;;;;;;;;14 nm;CMOS;;;Samsung;ARM Mali-T720 GPU;1-core GPU;667 MHz GPU;;CSD 9.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 5.76 Mbps (Cat. 6) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , TD-SCDMA , TD-HSDPA , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;USB 2.0;Bluetooth 4.2;IEEE 802.11a , IEEE 802.11b , IEEE 802.11g , IEEE 802.11n;;No;Yes;;Yes;B1I BeiDou receiver;Dual ARM Cortex-A53 Harvard Superscalar processor cores processor cores, ARM TrustZone, ARM NEON SIMD engine, qHD (960x540) display support, embedded, 5 MP camera support, 720p video decode, FM radio support. SiP-ePoP (System-in-Package - embedded Package on Package). For wearable devices.;;
Samsung;Exynos;Exynos 7 Quad 7570;;2016;Multi-core Application Processor with Modem;64 bit;ARMv8-A (A32, A64);4x ARM Cortex-A53 MPcore;4;mobile (LP) DDR3 SDRAM;1066 MHz;32 bit;;1 ch;;eMMC 5.0 , moviNAND , NAND Flash Interface , SATA;;;1380 MHz max.;8.53 Gbyte/s;;;;;;;;;;;14 nm;FinFET;;;Samsung;ARM Mali-T720 GPU;1-core GPU;830 MHz GPU;;CSD 9.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 5.76 Mbps (Cat. 6) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , DC-HSDPA 42.2 Mbps (Cat. 24) , TD-SCDMA , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;USB 2.0 , USB 3.0 / USB 3.1 Gen 1 / USB 3.2 Gen 1x1;Bluetooth 4.2;IEEE 802.11a , IEEE 802.11b , IEEE 802.11g , IEEE 802.11n;;HDMI (Unspecified) , DisplayPort (Unspecified) , HDMI 1.3 , HDMI 1.3a , HDMI 1.4;GPS (NMEA 0183);;Yes;B1I BeiDou receiver;Quad 1.38 GHz ARM Cortex-A53 Harvard Superscalar processor cores processor cores, HMP, ARM big.LITTLE architecture, 64/32-bit Multi-layer AHB/AXI bus, ARM TrustZone, ARM NEON SIMD engine, 1280x800 display support, 1080p 30 fps video encode/decode, dual ISP (up to 13 MP + 8 MP);;
Samsung;Exynos;Exynos 8 Octa 8870;;2016;Multi-core Application Processor with Modem;64 bit;ARMv8-A (A32, A64);4x Samsung Exynos M1 + 4x ARM Cortex-A53 MPcore;8;mobile (LP) DDR2 SDRAM , DDR3L (LV) SDRAM , mobile (LP) DDR3 SDRAM , mobile (LP) DDR4 SDRAM;;32 bit;;1 ch;;eMMC 5.1 , NAND Flash Interface , SATA;;;1900 MHz max.;;;;;;;;;;;;14 nm;CMOS;;;Samsung;N/A;;;;CSD 9.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSDPA (Cat. unspecified) , TD-SCDMA , LTE (Cat. unspecified) , LTE 400 Mbps / 150 Mbps (LTE Cat. 13) , LTE 600 Mbps / 100 Mbps (LTE Cat. 12) data links;No;No;No;;No;Yes;;Yes;;Quad Samsung Exynos M1 (Mongoose) Harvard Superscalar processor cores + Quad ARM Cortex-A53 Harvard Superscalar processor cores, HMP, ARM big.LITTLE architecture, Samsung Coherent Interconnect, ARM TrustZone, ARM NEON SIMD engine, embedded Samsung Exynos Modem GSM / GPRS / EDGE / TD-SCDMA / UMTS / HSPA+ / LTE Rel. 12 Cat. 12/13 (600/150Mbps) cellular modem, embedded GPS module with GLONASS, OpenGL ES 3.1, HDMI 1.4;;
Samsung;Exynos;Exynos 7 Quad 7578;;2016;Multi-core Application Processor with Modem;64 bit;ARMv8-A (A32, A64);4x ARM Cortex-A53 MPcore;4;DDR3L (LV) SDRAM , mobile (LP) DDR3 SDRAM;;32 bit;;1 ch;;eMMC 5.1 , SATA;;;1500 MHz max.;;;;;;;;;;;;28 nm;CMOS;;;Samsung;ARM Mali-T720 GPU;2-core GPU;668 MHz GPU;;CSD 9.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA 5.76 Mbps (Cat. 6) , HSDPA (Cat. unspecified) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , DC-HSDPA 42.2 Mbps (Cat. 24) , TD-SCDMA , LTE (Cat. unspecified) data links;USB 2.0;Bluetooth 4.1;IEEE 802.11a , IEEE 802.11b , IEEE 802.11g , IEEE 802.11n;;HDMI (Unspecified) , HDMI 1.3 , HDMI 1.3a , HDMI 1.4;GPS (NMEA 0183);;;;64/32-bit Multi-layer AHB/AXI bus, ARM TrustZone, ARM NEON SIMD engine, OpenGL ES 3.1;;
